Region,City,Year,Country,Month,OriginalMonthlyValue,flight_trends,airbnb_trends,hotel_trends
Cantabria,Santander,2022,Spain,October,353.051,2.6,6.4,59.0
Cantabria,Santander,2022,Spain,November,153.060,2.5,4.75,48.5
Cantabria,Santander,2022,Spain,December,141.876,2.5,4.75,44.0
Cantabria,Santander,2023,Spain,January,92.617,4.0,8.0,59.2
Cantabria,Santander,2023,Spain,February,118.364,3.5,8.0,57.0
Cantabria,Santander,2023,Spain,March,208.385,3.5,8.0,59.25
Cantabria,Santander,2023,Spain,April,505.135,3.8,8.2,64.6
Cantabria,Santander,2023,Spain,May,407.951,3.25,8.0,60.25
Cantabria,Santander,2023,Spain,June,612.414,4.0,10.0,68.0
Cantabria,Santander,2023,Spain,July,1.121.150,3.8,10.2,76.4
Cantabria,Santander,2023,Spain,August,1.351.572,3.5,8.75,76.0
Cantabria,Santander,2023,Spain,September,688.297,3.5,6.25,58.5
Cantabria,Santander,2023,Spain,October,373.854,3.4,5.2,51.8
Cantabria,Santander,2023,Spain,November,167.748,2.75,5.0,45.5
Cantabria,Santander,2023,Spain,December,162.942,2.6,5.4,45.8
Cantabria,Santander,2024,Spain,January,113.925,3.0,6.75,51.0
Cantabria,Santander,2024,Spain,February,127.420,3.25,7.25,51.5
Cantabria,Santander,2024,Spain,March,347.547,4.2,7.4,56.0
Cantabria,Santander,2024,Spain,April,378.306,3.75,7.0,53.75
Cantabria,Santander,2024,Spain,May,489.410,4.0,7.25,56.25
Cantabria,Santander,2024,Spain,June,603.621,3.8,7.8,60.0
Cantabria,Santander,2024,Spain,July,1.243.908,4.0,9.0,72.25
Cantabria,Santander,2024,Spain,August,1.476.134,3.5,7.5,71.5
Cantabria,Santander,2024,Spain,September,662.282,3.8,6.0,53.4
Cantabria,Santander,2024,Spain,October,312.264,2.5,5.0,46.75
Cantabria,Santander,2024,Spain,November,199.642,2.5,3.75,42.25
Cantabria,Santander,2024,Spain,December,158.245,3.4,4.4,40.0
País Vasco,San Sebastián,2020,Spain,January,115.521,0.0,0.0,53.5
País Vasco,San Sebastián,2020,Spain,February,116.710,0.0,0.0,51.75
País Vasco,San Sebastián,2020,Spain,March,210.058,0.0,0.0,16.0
País Vasco,San Sebastián,2020,Spain,April,271.796,0.0,0.0,11.5
País Vasco,San Sebastián,2020,Spain,May,258.410,0.0,0.0,21.0
País Vasco,San Sebastián,2020,Spain,June,436.281,0.0,0.0,47.25
País Vasco,San Sebastián,2020,Spain,July,873.652,0.0,0.0,62.5
País Vasco,San Sebastián,2020,Spain,August,1.257.980,0.0,2.0,60.4
País Vasco,San Sebastián,2020,Spain,September,709.103,0.0,0.0,38.5
País Vasco,San Sebastián,2020,Spain,October,702.934,0.0,0.0,38.25
País Vasco,San Sebastián,2020,Spain,November,481.448,0.0,0.0,22.6
País Vasco,San Sebastián,2020,Spain,December,426.932,0.0,0.0,21.5
País Vasco,San Sebastián,2021,Spain,January,115.521,0.0,0.0,19.8
País Vasco,San Sebastián,2021,Spain,February,116.710,0.0,0.0,20.75
País Vasco,San Sebastián,2021,Spain,March,210.058,0.0,0.0,32.0
País Vasco,San Sebastián,2021,Spain,April,271.796,3.5,0.0,20.5
País Vasco,San Sebastián,2021,Spain,May,258.410,0.0,0.0,43.2
País Vasco,San Sebastián,2021,Spain,June,436.281,0.0,0.0,59.5
País Vasco,San Sebastián,2021,Spain,July,873.652,0.0,0.0,60.0
País Vasco,San Sebastián,2021,Spain,August,1.257.980,0.0,0.0,77.2
País Vasco,San Sebastián,2021,Spain,September,709.103,0.0,0.0,55.75
País Vasco,San Sebastián,2021,Spain,October,702.934,0.0,0.0,51.8
País Vasco,San Sebastián,2021,Spain,November,481.448,0.0,0.0,42.0
País Vasco,San Sebastián,2021,Spain,December,426.932,0.0,0.0,37.75
País Vasco,San Sebastián,2022,Spain,January,286.653,0.0,0.0,48.6
País Vasco,San Sebastián,2022,Spain,February,387.703,0.0,0.0,60.5
País Vasco,San Sebastián,2022,Spain,March,505.622,0.0,2.25,61.0
País Vasco,San Sebastián,2022,Spain,April,724.803,0.0,2.5,71.0
País Vasco,San Sebastián,2022,Spain,May,745.960,0.0,1.6,71.6
País Vasco,San Sebastián,2022,Spain,June,868.951,0.0,2.5,75.75
País Vasco,San Sebastián,2022,Spain,July,1.247.309,0.0,0.0,85.4
País Vasco,San Sebastián,2022,Spain,August,1.359.182,0.0,3.25,90.25
País Vasco,San Sebastián,2022,Spain,September,900.388,0.0,0.0,63.25
País Vasco,San Sebastián,2022,Spain,October,791.043,0.0,1.6,65.6
País Vasco,San Sebastián,2022,Spain,November,556.056,0.0,0.0,48.5
País Vasco,San Sebastián,2022,Spain,December,516.033,0.0,0.0,50.5
País Vasco,San Sebastián,2023,Spain,January,417.251,0.0,0.0,60.2
País Vasco,San Sebastián,2023,Spain,February,473.018,0.0,0.0,58.25
País Vasco,San Sebastián,2023,Spain,March,589.656,0.0,0.0,67.25
País Vasco,San Sebastián,2023,Spain,April,823.524,0.0,0.0,69.0
País Vasco,San Sebastián,2023,Spain,May,832.061,0.0,0.0,65.5
País Vasco,San Sebastián,2023,Spain,June,911.219,0.0,0.0,75.25
País Vasco,San Sebastián,2023,Spain,July,1.247.269,0.0,3.0,81.2
País Vasco,San Sebastián,2023,Spain,August,1.403.041,0.0,0.0,84.5
País Vasco,San Sebastián,2023,Spain,September,997.237,0.0,0.0,72.5
País Vasco,San Sebastián,2023,Spain,October,870.754,0.0,0.0,65.2
País Vasco,San Sebastián,2023,Spain,November,590.644,0.0,0.0,57.5
País Vasco,San Sebastián,2023,Spain,December,570.432,0.0,0.0,56.0
País Vasco,San Sebastián,2024,Spain,January,453.365,0.0,0.0,70.5
País Vasco,San Sebastián,2024,Spain,February,500.292,0.0,0.0,69.0
País Vasco,San Sebastián,2024,Spain,March,744.776,0.0,2.0,78.0
País Vasco,San Sebastián,2024,Spain,April,783.008,0.0,0.0,66.75
País Vasco,San Sebastián,2024,Spain,May,923.791,0.0,0.0,70.0
País Vasco,San Sebastián,2024,Spain,June,928.780,0.0,3.2,70.0
País Vasco,San Sebastián,2024,Spain,July,1.255.770,0.0,0.0,77.0
País Vasco,San Sebastián,2024,Spain,August,1.460.995,0.0,0.0,84.5
País Vasco,San Sebastián,2024,Spain,September,1.012.015,0.0,0.0,67.4
País Vasco,San Sebastián,2024,Spain,October,900.551,0.0,0.0,59.25
País Vasco,San Sebastián,2024,Spain,November,685.544,0.0,0.0,51.25
País Vasco,San Sebastián,2024,Spain,December,604.220,0.0,0.0,55.0
Comunidad Foral de Navarra,Pamplona,2020,Spain,January,57.641,0.0,5.25,70.5
Comunidad Foral de Navarra,Pamplona,2020,Spain,February,73.222,0.0,4.75,74.25
Comunidad Foral de Navarra,Pamplona,2020,Spain,March,93.501,0.0,1.0,37.4
Comunidad Foral de Navarra,Pamplona,2020,Spain,April,115.143,0.0,0.0,18.75
Comunidad Foral de Navarra,Pamplona,2020,Spain,May,146.101,0.0,0.0,24.2
Comunidad Foral de Navarra,Pamplona,2020,Spain,June,213.277,0.0,2.75,47.0
Comunidad Foral de Navarra,Pamplona,2020,Spain,July,429.361,0.0,2.0,49.0
Comunidad Foral de Navarra,Pamplona,2020,Spain,August,624.558,0.0,3.2,50.6
Comunidad Foral de Navarra,Pamplona,2020,Spain,September,345.612,0.0,0.0,46.5
Comunidad Foral de Navarra,Pamplona,2020,Spain,October,343.609,0.0,1.25,38.75
Comunidad Foral de Navarra,Pamplona,2020,Spain,November,176.204,0.0,0.0,25.8
Comunidad Foral de Navarra,Pamplona,2020,Spain,December,153.887,0.0,0.0,26.25
Comunidad Foral de Navarra,Pamplona,2021,Spain,January,57.641,0.0,0.0,33.6
Comunidad Foral de Navarra,Pamplona,2021,Spain,February,73.222,0.0,0.0,33.0
Comunidad Foral de Navarra,Pamplona,2021,Spain,March,93.501,0.0,0.0,31.75
Comunidad Foral de Navarra,Pamplona,2021,Spain,April,115.143,0.0,0.0,34.75
Comunidad Foral de Navarra,Pamplona,2021,Spain,May,146.101,0.0,2.6,54.2
Comunidad Foral de Navarra,Pamplona,2021,Spain,June,213.277,0.0,3.5,57.75
Comunidad Foral de Navarra,Pamplona,2021,Spain,July,429.361,0.0,3.0,64.75
Comunidad Foral de Navarra,Pamplona,2021,Spain,August,624.558,0.0,3.0,81.2
Comunidad Foral de Navarra,Pamplona,2021,Spain,September,345.612,0.0,3.25,62.25
Comunidad Foral de Navarra,Pamplona,2021,Spain,October,343.609,0.0,1.8,59.8
Comunidad Foral de Navarra,Pamplona,2021,Spain,November,176.204,0.0,2.75,50.25
Comunidad Foral de Navarra,Pamplona,2021,Spain,December,153.887,0.0,1.0,38.25
Comunidad Foral de Navarra,Pamplona,2022,Spain,January,99.937,0.0,4.4,47.8
Comunidad Foral de Navarra,Pamplona,2022,Spain,February,133.403,0.0,5.0,62.75
Comunidad Foral de Navarra,Pamplona,2022,Spain,March,187.005,0.0,5.25,65.5
Comunidad Foral de Navarra,Pamplona,2022,Spain,April,352.571,0.75,5.75,78.5
Comunidad Foral de Navarra,Pamplona,2022,Spain,May,367.636,1.4,5.6,73.0
Comunidad Foral de Navarra,Pamplona,2022,Spain,June,357.434,0.75,6.75,76.25
Comunidad Foral de Navarra,Pamplona,2022,Spain,July,492.160,0.8,7.0,80.8
Comunidad Foral de Navarra,Pamplona,2022,Spain,August,653.042,0.0,4.75,75.0
Comunidad Foral de Navarra,Pamplona,2022,Spain,September,381.437,0.0,4.75,70.0
Comunidad Foral de Navarra,Pamplona,2022,Spain,October,344.831,0.0,4.8,59.8
Comunidad Foral de Navarra,Pamplona,2022,Spain,November,192.738,0.0,3.25,50.25
Comunidad Foral de Navarra,Pamplona,2022,Spain,December,164.088,0.0,2.0,42.75
Comunidad Foral de Navarra,Pamplona,2023,Spain,January,128.409,0.6,2.4,52.6
Comunidad Foral de Navarra,Pamplona,2023,Spain,February,151.781,0.0,5.5,55.5
