# CSV-File created with merge-csv.com
# -----------------------------------------------------------

date,region,county,city,gt_airbnb,gt_hotel,gt_flights,gt_attr1,gt_attr2,gt_attr3,wiki_views
2024-04-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.64,0.5714285714285715,0.5168539325842697,0.0,0.0,0.39,0.8059415428845234
2024-05-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.6,0.6593406593406594,0.5730337078651685,0.0,0.0,0.8200000000000001,0.49880210828941063
2024-06-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.71,0.7252747252747254,0.7303370786516854,0.0,0.0,0.48,0.29803545759463346
2024-07-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.74,0.8461538461538463,0.7865168539325843,0.0,0.0,0.9500000000000001,0.3287014853857212
2024-08-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.51,0.7142857142857144,0.6292134831460674,0.0,0.0,0.77,0.43651173933876386
2024-09-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.28,0.41758241758241765,0.4831460674157303,0.0,0.0,0.35000000000000003,0.38380450407283184
2024-10-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.17,0.3076923076923077,0.2808988764044944,0.0,0.0,0.26,0.2831816003833254
2024-11-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.19,0.24175824175824176,0.22471910112359547,0.0,0.0,0.0,0.11020603737422141
2024-12-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.24,0.2197802197802198,0.24719101123595508,0.0,0.0,0.33,0.18639195016770482
2025-01-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.45,0.4505494505494506,0.5280898876404495,0.0,0.0,0.0,0.225682798275036
2025-02-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.44,0.43956043956043966,0.449438202247191,0.0,0.0,0.0,0.12074748442740779
2025-03-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.49,0.5494505494505495,0.5393258426966292,0.87,0.0,0.0,0.18878773358888357
2025-04-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.47000000000000003,0.5934065934065935,0.5280898876404495,0.0,0.0,0.38,0.18255869669381886
2025-05-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.59,0.7142857142857144,0.6404494382022472,0.0,0.0,0.6,0.1787254432199329
