Region ;City;Year;Country;January;February;March;April;May;June;July;August;September;October;November;December;
Ciudad de Ceuta;Ceuta;2022;Spain;4.516;5.290;8.006;8.696;11.068;13.452;16.000;18.653;14.347;14.054;12.369;10.730;
Ciudad de Melilla;Melilla;2022;Spain;6.139;7.643;9.108;9.349;10.429;9.820;9.587;14.049;13.069;11.920;10.683;8.583;
Canarias;Las Palmas de Gran Canaria;2022;Spain;5.662.922;6.206.324;7.394.849;7.319.494;6.567.671;7.014.346;8.498.927;9.325.999;7.606.441;8.036.754;7.749.909;7.883.412;
Galicia;Santiago de Compostela;2023;Spain;361.970;396.658;559.201;1.052.515;1.105.611;1.363.942;2.117.531;2.715.570;1.563.858;1.139.635;573.591;564.914;
Principado de Asturias;Oviedo;2023;Spain;150.743;178.037;237.031;515.357;430.301;641.455;1.228.727;1.572.925;750.434;481.849;235.270;250.620;
Cantabria;Santander;2023;Spain;92.617;118.364;208.385;505.135;407.951;612.414;1.121.150;1.351.572;688.297;373.854;167.748;162.942;
País Vasco;San Sebastián;2023;Spain;417.251;473.018;589.656;823.524;832.061;911.219;1.247.269;1.403.041;997.237;870.754;590.644;570.432;
Comunidad Foral de Navarra;Pamplona;2023;Spain;128.409;151.781;222.013;405.920;365.702;376.011;537.590;659.684;413.421;366.772;205.033;199.989;
La Rioja;Logroño;2023;Spain;51.303;76.302;94.365;162.312;142.523;155.338;232.787;289.860;167.280;148.574;99.569;95.947;
Aragón;Zaragoza;2023;Spain;448.461;552.227;578.485;772.889;578.022;673.918;1.101.717;1.463.213;731.109;681.119;445.198;540.601;
Comunidad de Madrid;Madrid;2023;Spain;2.033.993;1.997.711;2.389.164;2.675.557;2.633.007;2.701.514;2.728.412;2.537.193;2.732.897;2.794.728;2.492.478;2.521.354;
Castilla y León;Salamanca;2023;Spain;525.326;634.680;833.317;1.243.895;1.068.879;1.164.115;1.486.488;1.860.809;1.264.927;1.133.204;836.178;874.940;
Castilla-La Mancha;Toledo;2023;Spain;293.562;325.436;411.270;596.815;494.029;516.552;630.448;745.066;514.784;531.620;401.418;413.181;
Extremadura;Cáceres;2023;Spain;171.798;217.317;288.004;430.544;330.146;311.606;381.404;497.025;335.660;320.357;250.048;250.252;
Cataluña;Barcelona;2023;Spain;2.585.207;2.975.110;3.794.531;6.928.385;7.714.723;9.662.852;13.708.493;15.841.637;9.550.911;6.645.422;3.156.399;3.072.183;
Comunitat Valenciana;Valencia;2023;Spain;2.415.459;2.596.496;3.313.386;4.596.145;4.286.316;5.144.388;6.922.267;8.100.377;4.910.345;4.356.905;3.009.630;2.797.980;
Illes Balears;Palma;2023;Spain;284.116;535.493;1.064.929;3.731.469;8.400.957;10.475.896;12.519.058;13.068.195;10.618.155;7.278.600;481.852;333.090;
Sur;;2023;Spain;3.436.586;4.082.026;4.985.308;6.938.457;7.027.875;7.827.726;9.966.721;11.421.715;8.366.353;7.061.877;4.389.800;4.168.919;
Andalucía;Sevilla;2023;Spain;3.132.145;3.747.888;4.577.965;6.448.428;6.588.724;7.299.127;9.256.266;10.540.609;7.855.754;6.611.713;4.025.420;3.818.411;
Región de Murcia;Cartagena;2023;Spain;286.599;316.051;388.184;466.972;414.718;501.839;683.498;847.928;484.744;429.899;343.460;329.774;
Ciudad de Ceuta;Ceuta;2023;Spain;9.906;8.894;8.625;12.820;13.617;14.221;15.121;20.287;12.381;8.957;9.805;9.792;
Ciudad de Melilla;Melilla;2023;Spain;7.935;9.193;10.535;10.237;10.817;12.540;11.837;12.892;13.472;11.309;11.116;10.943;
Canarias;Las Palmas de Gran Canaria;2023;Spain;8.052.274;7.689.749;8.064.850;7.551.075;6.878.685;7.180.509;8.521.062;8.967.673;7.879.872;8.372.249;8.207.846;8.209.112;
Galicia;Santiago de Compostela;2024;Spain;356.205;411.443;693.196;827.247;1.156.442;1.336.649;2.015.472;2.667.570;1.544.010;1.091.542;655.540;550.563;
Principado de Asturias;Oviedo;2024;Spain;174.066;183.898;390.547;347.818;465.479;618.504;1.204.885;1.604.640;740.125;430.316;281.605;247.787;
Cantabria;Santander;2024;Spain;113.925;127.420;347.547;378.306;489.410;603.621;1.243.908;1.476.134;662.282;312.264;199.642;158.245;
País Vasco;San Sebastián;2024;Spain;453.365;500.292;744.776;783.008;923.791;928.780;1.255.770;1.460.995;1.012.015;900.551;685.544;604.220;
Comunidad Foral de Navarra;Pamplona;2024;Spain;140.622;158.008;270.735;313.234;384.211;357.474;537.503;697.408;410.729;356.099;240.407;216.200;
La Rioja;Logroño;2024;Spain;53.303;70.968;129.913;124.435;149.707;150.175;221.659;283.799;158.905;136.641;107.789;88.571;
Aragón;Zaragoza;2024;Spain;453.009;531.498;709.796;572.552;675.906;730.355;1.075.571;1.509.643;733.469;652.518;493.829;526.244;
Comunidad de Madrid;Madrid;2024;Spain;2.159.024;2.286.921;2.713.462;2.757.670;2.951.609;2.840.465;2.879.688;2.604.789;2.820.870;2.999.914;2.707.850;2.598.736;
Castilla y León;Salamanca;2024;Spain;544.855;649.384;990.899;975.322;1.182.572;1.192.034;1.549.861;1.826.324;1.262.939;1.146.848;911.947;830.912;
Castilla-La Mancha;Toledo;2024;Spain;273.188;335.178;472.721;484.587;552.421;536.226;640.056;706.084;510.930;584.907;450.653;409.764;
Extremadura;Cáceres;2024;Spain;174.715;221.550;339.059;355.406;379.965;352.112;420.076;543.256;384.647;346.850;295.538;268.336;
Cataluña;Barcelona;2024;Spain;2.698.646;3.197.521;4.985.168;6.072.921;8.741.493;10.376.663;14.047.728;15.875.010;9.767.782;6.622.862;3.277.645;3.007.249;
Comunitat Valenciana;Valencia;2024;Spain;2.616.013;2.992.292;3.996.700;3.958.434;4.539.571;5.173.972;6.868.169;8.018.174;5.248.131;4.435.214;3.036.957;2.778.715;
Illes Balears;Palma;2024;Spain;274.139;650.159;1.874.493;3.833.032;9.528.191;11.282.724;12.900.921;13.550.855;11.040.407;8.032.910;492.598;384.792;
Andalucía;Sevilla;2024;Spain;3.467.169;4.264.132;5.679.460;6.326.483;7.384.190;7.722.271;9.240.207;10.684.142;8.035.552;6.642.258;4.190.014;3.675.342;
Región de Murcia;Cartagena;2024;Spain;304.951;379.225;473.076;400.902;442.125;493.185;704.028;862.640;513.844;448.038;361.223;327.328;
Ciudad de Ceuta;Ceuta;2024;Spain;8.506;8.330;11.096;14.455;10.451;11.408;12.964;17.714;9.979;10.832;9.161;9.688;
Ciudad de Melilla;Melilla;2024;Spain;8.130;9.479;9.561;10.661;11.909;13.092;10.063;15.222;12.793;12.759;10.677;9.474;
Canarias;Las Palmas de Gran Canaria;2024;Spain;8.538.783;8.274.901;8.864.653;7.557.618;7.266.594;7.529.539;8.676.467;9.386.778;7.999.473;8.708.047;8.398.193;8.287.773;
