month,wiki_views_Unknown,region,country,total_wiki_views,wiki_views_Belgium,wiki_views_Brussels,wiki_views_Atomium,wiki_views_City of Brussels,wiki_views_Royal Palace of Brussels,wiki_views_Manneken Pis,wiki_views_Vlaams Gewest,wiki_views_Antwerp Zoo
2020-01,4150.0,Euro area – 20 countries (2023-2025),Unknown,4150,,,,,,,,
2020-02,3242.0,Euro area – 20 countries (2023-2025),Unknown,3242,,,,,,,,
2020-03,3566.0,Euro area – 20 countries (2023-2025),Unknown,3566,,,,,,,,
2020-04,3587.0,Euro area – 20 countries (2023-2025),Unknown,3587,,,,,,,,
2020-05,1633.0,Euro area – 20 countries (2023-2025),Unknown,1633,,,,,,,,
2020-06,1742.0,Euro area – 20 countries (2023-2025),Unknown,1742,,,,,,,,
2020-07,1229.0,Euro area – 20 countries (2023-2025),Unknown,1229,,,,,,,,
2020-08,1403.0,Euro area – 20 countries (2023-2025),Unknown,1403,,,,,,,,
2020-09,1372.0,Euro area – 20 countries (2023-2025),Unknown,1372,,,,,,,,
2020-10,1379.0,Euro area – 20 countries (2023-2025),Unknown,1379,,,,,,,,
2020-11,1302.0,Euro area – 20 countries (2023-2025),Unknown,1302,,,,,,,,
2020-12,1303.0,Euro area – 20 countries (2023-2025),Unknown,1303,,,,,,,,
2021-01,3649.0,Euro area – 20 countries (2023-2025),Unknown,3649,,,,,,,,
2021-02,1637.0,Euro area – 20 countries (2023-2025),Unknown,1637,,,,,,,,
2021-03,1309.0,Euro area – 20 countries (2023-2025),Unknown,1309,,,,,,,,
2021-04,1576.0,Euro area – 20 countries (2023-2025),Unknown,1576,,,,,,,,
2021-05,1543.0,Euro area – 20 countries (2023-2025),Unknown,1543,,,,,,,,
2021-06,1854.0,Euro area – 20 countries (2023-2025),Unknown,1854,,,,,,,,
2021-07,1495.0,Euro area – 20 countries (2023-2025),Unknown,1495,,,,,,,,
2021-08,1212.0,Euro area – 20 countries (2023-2025),Unknown,1212,,,,,,,,
2021-09,1202.0,Euro area – 20 countries (2023-2025),Unknown,1202,,,,,,,,
2021-10,1110.0,Euro area – 20 countries (2023-2025),Unknown,1110,,,,,,,,
2021-11,1149.0,Euro area – 20 countries (2023-2025),Unknown,1149,,,,,,,,
2021-12,1243.0,Euro area – 20 countries (2023-2025),Unknown,1243,,,,,,,,
2022-01,1207.0,Euro area – 20 countries (2023-2025),Unknown,1207,,,,,,,,
2022-02,1193.0,Euro area – 20 countries (2023-2025),Unknown,1193,,,,,,,,
2022-03,1331.0,Euro area – 20 countries (2023-2025),Unknown,1331,,,,,,,,
2022-04,1219.0,Euro area – 20 countries (2023-2025),Unknown,1219,,,,,,,,
2022-05,1168.0,Euro area – 20 countries (2023-2025),Unknown,1168,,,,,,,,
2022-06,1299.0,Euro area – 20 countries (2023-2025),Unknown,1299,,,,,,,,
2022-07,1097.0,Euro area – 20 countries (2023-2025),Unknown,1097,,,,,,,,
